budget_id,user_id,income_id,needs_amount,wants_amount,investment_amount,income_amount,budget_limit,source,income_date
BGT07008,USR059,INC02382,3600000,2400000,1700000,7700000,6000000,salary,2024-02-08 20:14
BGT08759,USR072,INC00987,5200000,2500000,1900000,9600000,7700000,bonus,2023-11-01 09:32
BGT02931,USR067,INC06315,3650000,2000000,1000000,6600000,5650000,freelance,2024-06-30 13:16
BGT09366,USR036,INC02999,900000,500000,300000rb,1750000,1400000,internship,2024-12-13 04:48
BGT02328,USR023,INC03195,950000,600000,500000,2050000,1550000,part_time,2024-01-27 22:28
BGT08664,USR071,INC03511,2600000,1550000,,5200000,4150000,bonus,2024-06-29 22:49
BGT00241,USR012,INC01502,950000,500000,450000,1900000,1450000,scholarship,2024-01-04 15:13
BGT09159,USR026,INC07333,1550000,850000,700000,3100000rb,2400000,allowance,2024-08-12 14:42
BGT09522,USR032,INC02481,2450000,1300000,750000,4500000,3750000,allowance,2024-03-27 06:42
BGT03750,USR028,INC04785,2100000,1500000,900000,4500000,3600000,part_time,2023-01-18 02:06
BGT05684,USR056,INC01269,2850000,1550000,1400000,5800000,4400000,bonus,2024-02-07 04:27
BGT08374,USR002,INC04211,1150000,700000,250000,2050000rb,1850000,allowance,2024-12-06 18:19
BGT05409,USR052,INC02659,3950000,2550000,1250000,7750000,6500000,bonus,2024-09-13 02:27
BGT03745,USR054,INC05130,3200000,1900000,1900000,6950000,5100000,business,2023-11-05 03:26
BGT08321,USR046,INC05032,3100000,1700000,850000,5650000,4800000,business,
BGT03230,USR073,INC06886,1950000,1300000,1200000,4450000,3250000,salary,2023-10-29 14:57
BGT02041,USR049,INC01940,3850000,2100000,1050000,7000000,5950000,freelance,23/05/2024 07:37
BGT09620,USR039,INC01023,1550000,1100000,750000,3400000,2650000,allowance,2024-08-29 18:19
BGT02712,USR010,INC08014,500000rb,250000,250000,1050000rb,750000,allowance,2023-12-11 05:58
BGT04457,USR047,INC07183,2550000,1700000,850000,5100000,4250000,salary,2023-08-29 02:20
BGT05746,USR069,INC07529,2800000,1750000,1700000,6250000,4550000,salary,2024-04-24 15:46
BGT01198,USR039,INC07047,2300000,1450000,1000000,,3750000,part_time,2023-08-14 05:46
BGT01652,USR003,INC04692,1250000,700000,300000,2250000,1950000,allowance,2023-02-19 11:08
BGT03417,USR067,INC08689,,2800000,950000,8550000,7600000,business,2023-10-13 10:56
BGT07459,USR049,INC00213,3700000,2050000,1350000,7100000,5750000,bonus,2023-11-08 23:30
BGT00371,USR035,INC08500,1400000,850000,900000,3150000,2250000,freelance,2023-08-03 20:06
BGT03110,USR073,INC06222,1950000,1250000,900000,4100000,2800000,freelance,2023-04-01 08:25
BGT03487,USR004,INC05658,1600000,850000,500000,2950000,2450000,part_time,2023-02-16 19:17
BGT03860,USR067,INC03299,2000000,1300000,1000000,4250000,3300000,freelance,2023-04-14 11:47
BGT03507,USR012,INC03325,900000,500000,250000,1650000,1400000,allowance,2024-03-30 07:57
BGT05720,USR018,INC01497,900000,650000,500000,2050000,1550000,allowance,2024-07-01 19:47
BGT06256,USR054,INC04945,2400000rb,1450000,1350000,5200000,3850000,freelance,2023-03-19 18:29
BGT00200,USR002,INC09355,850000,600000,450000,1850000,1450000,scholarship,2024-11-05 16:52
BGT01358,USR021,INC00994,2250000,1300000,650000,4200000,3550000,allowance,2024-03-29 06:45
BGT01239,USR033,INC01917,,1400000,650000,4300000,3650000,allowance,2024-10-27 10:06
BGT02821,USR042,INC03757,1500000,900000,800000,3150000,2400000,salary,2023-05-17 12:41
BGT01170,USR064,INC01463,2100000,1500000,800000,4400000,3600000,bonus,2024-10-08 23:00
BGT06922,USR041,INC01869,2350000,1600000,700000,4650000,3950000,bonus,2023-06-16 16:17
BGT09760,USR069,INC02260,4800000,2750000,1550000,9100000,7550000,business,2024-07-23 17:51
BGT04787,USR019,INC02743,650000,300000,200000,1150000,950000,allowance,2023-10-14 08:37
BGT09452,USR047,INC07226,2750000,1750000,600000,5100000,4500000,bonus,2023-08-23 17:28
BGT09439,USR041,INC05029,1800000,1100000,850000,3800000,2900000,bonus,2023-07-02 21:26
BGT00851,USR001,INC05248,750000,450000,350000,1550000,1200000,scholarship,2023-02-28 01:18
BGT01351,USR050,INC06009,3000000,2050000,1600000,6650000,5050000,business,2023-07-11 05:13
BGT06426,USR008,INC04377,950000,600000rb,500000,2000000,1550000,allowance,2023-04-10 23:53
BGT00805,USR004,INC00246,750000,350000,250000,1350000.00,1100000,allowance,2024-05-16 17:40
BGT08290,USR029,INC01901,2650000,1450000,850000,4950000,4100000,part_time,2023-04-16 19:46
BGT03802,USR051,INC06227,3050000,1700000,750000,5500000,4750000,business,2024-02-22 19:49
BGT08577,USR019,INC02189,700000,400000,250000,1350000,1100000,scholarship,2023-01-27 18:07
BGT08169,USR035,INC05138,1350000,1000000,700000,3050000,2350000,internship,2024-10-25 04:06
BGT07100,USR065,INC00665,2300000,1300000,950000,4550000,3600000,salary,2023-05-03 15:46
BGT08373,USR008,INC06790,950000,550000,550000,2100000,1500000,part_time,2024-04-04 23:08
BGT09120,USR026,INC02167,2450000,1450000,650000,4550000,3900000,internship,2024-06-19 00:39
BGT00546,USR015,INC08688,950000,600000,250000,1800000,1550000,allowance,2023-03-31 10:58
BGT02469,USR021,INC05899,1850000,1300000,900000,4050000,3150000,part_time,2023-01-14 20:54
BGT05071,USR055,INC00219,4250000,2300000,1150000,7700000,6550000,freelance,2024-03-02 19:53
BGT06939,USR014,INC07904,1400000,700000,550000,2600000,2100000,allowance,2024-03-01 03:07
BGT07235,USR065,INC01787,2550000,1650000,750000,4950000,4200000,freelance,2023-01-22 21:33
BGT04792,USR017,INC08019,450000,300000,250000,1000000,750000,part_time,2023-08-28 20:28
BGT00190,USR004,INC05944,850000,500000,250000,1600000,1350000,part_time,2024-03-21 17:44
BGT02813,USR014,INC07184,700000,400000,300000,1400000,1100000,allowance,2024/08/07 11:49
BGT06664,USR047,INC05015,1600000,1050000,550000,3200000,2650000,bonus,2024-05-08 18:51
BGT09403,USR050,INC07416,4050000,2550000,1150000,7750000,6600000,bonus,2024-04-30 05:54
BGT05867,USR002,INC02609,950000,600000,300000,1900000,1550000,scholarship,2023-07-17 20:50
BGT04037,USR048,INC00899,3450000,2050000,1100000,6600000,5500000,bonus,2023-03-05 23:05
BGT00199,USR028,INC03665,-2050000,1100000,500000,3650000,3150000,part_time,
BGT08651,USR051,INC01611,3100000,1900000,1550000,6550000,5000000,salary,2023-08-16 18:41
BGT09298,USR003,INC09919,1300000,900000,700000,2850000,2200000,part_time,2023-04-09 07:48
BGT04575,USR068,INC08975,3200000,1600000,900000,5750000,4800000,business,2024-12-27 10:28
BGT03015,USR009,INC05978,1200000,600000,500000,2300000,1800000,allowance,
BGT08036,USR011,INC09040,800000,600000,350000,1700000,1400000,scholarship,2024-02-07 05:43
BGT00604,USR010,INC06264,750000,450000,350000,1550000,1200000,allowance,2023-04-25 03:22
BGT04166,USR031,INC07373,1900000,1300000,1050000,4250000,3200000,internship,2024-11-18 09:29
BGT04637,USR063,INC06736,4500000,2450000,1200000,8150000,6950000,business,2024-06-17 02:43
BGT08411,USR009,INC07268,850000,550000,300000,1700000,1400000,part_time,2024-08-12 05:55
BGT05554,USR053,INC01793,3050000,2100000,1200000,6350000,5150000,salary,2024-02-04 23:05
BGT05439,USR067,INC00959,2250000,1400000,600000,4200000,3650000,business,2024-09-24 13:03
BGT04290,USR028,INC04010,1250000,800000,600000,2650000,2050000,internship,2024-11-05 16:44
BGT07872,USR061,INC04653,4100000,2550000,1550000,8250000,6650000,business,2023-03-24 21:51
BGT00952,USR072,INC07017,1850000,1300000,900000,4000000,3150000,freelance,2023-09-01 05:28
BGT03066,USR012,INC06046,1250000,850000,650000,2800000,2100000,part_time,2024-12-22 10:38
BGT02660,USR021,INC04373,1750000,1200000,600000,3600000,2950000,internship,2023-01-22 15:17
BGT02625,USR054,INC08927,2900000,1600000,800000,5300000,4500000,freelance,2024/04/17 02:21
BGT01991,USR028,INC07723,1100000,850000,500000,2450000,1950000,allowance,2023-02-02 08:18
BGT03510,USR051,INC06493,1900000,950000,600000,3450000,2850000,salary,2024-12-05 17:23
BGT07592,USR060,INC06141,3450000,1900000,1700000,7050000,5350000,freelance,2024-12-08 10:21
BGT07419,USR060,INC04578,2150000,1400000,750000,4300000,3550000,freelance,2023-02-04 03:47
BGT06182,USR041,INC02262,2250000,1550000,,4900000,3800000,business,2024-02-26 04:38
BGT00339,USR004,INC09788,1100000,650000,500000,2250000,1750000,scholarship,2023-10-15 18:29
BGT02242,USR038,INC08709,1250000,800000,350000,2400000,2050000,part_time,2023-07-26 12:49
BGT06356,USR064,INC05174,4400000,2400000,2050000,8850000,6800000,investment_return,2023-10-24 01:25
BGT08856,USR038,INC03361,1700000,950000,700000,3350000,2650000,freelance,2023-05-29 04:03
BGT09901,USR011,INC08552,550000,350000,,1100000,900000,scholarship,2024-02-13 11:24
BGT06971,USR005,INC05735,1000000,700000,350000,2050000,1700000,allowance,2024-10-05 16:32
BGT01252,USR032,INC08592,2600000,1500000,550000,4650000,4100000,allowance,2024-08-17 07:59
BGT09895,USR044,INC01873,2150000,,800000,4450000,3650000,business,2023-07-10 19:16
BGT04864,USR046,INC03513,1700000,950000,1000000,3650000,2650000,bonus,2024-09-16 12:17
BGT04087,USR033,INC00955,1800000,1200000,,3550000,3000000,allowance,2024-04-20 12:24
BGT04958,USR075,INC03155,4600000,2850000,1200000,8700000,7450000,bonus,2023-11-07 21:47
BGT08551,USR003,INC09310,1700000rb,950000,350000,3000000,2650000,part_time,2023-12-17 16:52
BGT00527,USR052,INC07959,1500000,950000,650000,3100000,2450000,freelance,2024-06-28 11:47
BGT02723,USR004,INC03547,1350000,750000,300000,2400000,2100000,part_time,2023-06-07 03:10
BGT02612,USR029,INC05700,1800000,1150000,850000,3800000,2950000,internship,2024-05-19 15:46
BGT07910,USR062,INC02496,2800000,1750000,1150000,5700000,4550000,investment_return,2024-08-12 00:10
BGT01748,USR069,INC09732,2200000,1250000,1200000,4650000,3100000,freelance,2023-08-29 03:12
BGT04509,USR007,INC09389,550000,350000,100000,1000000,900000,scholarship,2023-11-15 05:42
BGT07329,USR042,INC00926,3750000,2500000,1400000,7650000,6250000,freelance,2024-03-07 16:42
BGT03338,USR020,INC03202,700000,450000rb,200000,1350000,1150000,scholarship,2024-07-16 23:48
BGT03210,USR029,INC07595,950000,650000,400000rb,2000000,1600000,part_time,2023-12-29 19:41
BGT05807,USR014,INC01266,900000,600000,350000,1850000,1500000,part_time,2023-09-11 03:09
BGT02314,USR021,INC02453,2050000,1600000,,4700000,3650000,part_time,2023-02-18 03:47
BGT03250,USR042,INC07688,1450000,1050000,750000,3250000,2500000,salary,2024-12-01 12:11
BGT08878,USR065,INC08040,4500000,2150000,1650000,8300000,6650000,bonus,2024-04-20 09:17
BGT03044,USR035,INC06778,1400000,800000,700000,2900000,2200000,part_time,2024-07-02 13:53
BGT03500,USR002,INC03008,550000,350000,300000,1200000,900000,part_time,2024-07-06 05:13
BGT07605,USR042,INC08733,3150000,1900000,1750000,6800000,5050000,salary,2024-02-23 16:28
BGT02854,USR042,INC01316,2600000,1700000,900000,5200000,4300000,business,2023-02-09 08:21
BGT02905,USR010,INC03853,1250000,650000,500000,2450000,1900000,part_time,2024-01-27 05:45
BGT08932,USR041,INC00524,2550000,1500000rb,1350000,5400000,4050000,business,2023-07-06 09:51
BGT07248,USR055,INC08359,3150000,1750000,1400000,6300000,4900000,business,2023-09-09 03:07
BGT06018,USR025,INC09570,1000000,700000,550000,2250000,1700000,internship,2023-06-07 02:58
BGT02265,USR023,INC02551,2400000,1450000,700000,4550000,3850000,part_time,2024-05-20 13:28
BGT07925,USR062,INC06693,3100000,1750000,850000,5700000,4850000,investment_return,2023-10-18 12:21
BGT09690,USR053,INC04994,3500000,,1550000,7100000,5550000,freelance,2023-03-30 12:14
BGT09720,USR072,INC00265,2400000,-1450000,900000,4750000,3850000,freelance,2024-12-28 06:09
BGT09535,USR065,INC08903,3400000,2250000,1150000,6850000,5650000,investment_return,2023-01-11 10:57
BGT02453,USR061,INC09354,2550000,1650000,750000,4950000,4200000,investment_return,2024-06-02 22:33
BGT09834,USR005,INC09584,1150000,850000,600000,2600000,2000000,scholarship,2024-11-30 05:33
BGT09225,USR073,INC09564,2950000,2150000,1350000,6450000,5100000,freelance,2023-05-31 09:24
BGT03891,USR048,INC00371,2050000,1100000,700000,3850000rb,3150000,freelance,2023-07-09 15:58
BGT00007,USR022,INC01816,2050000rb,1150000,800000,4050000,3200000,internship,2023-10-31 06:37
BGT09248,USR019,INC06127,750000,400000rb,400000,1550000,1150000,part_time,2024-07-30 04:48
BGT00959,USR041,INC06368,,2100000,1000000,6700000,5700000,freelance,2024-01-20 11:49
BGT02666,USR032,INC08305,1450000,950000,450000,2850000,2400000,internship,2024-01-24 03:20
BGT02823,USR017,INC07424,1150000,700000,600000,2500000,1850000,scholarship,2023-11-04 18:26
BGT03305,USR019,INC05579,650000,350000,300000,1350000,1000000,part_time,2023-04-26 12:49
BGT09957,USR075,INC02712,4350000,2800000,1050000rb,8200000,7150000,freelance,15/01/2023 09:23
BGT09607,USR057,INC08235,3350000,1950000,1000000,6350000,5300000,salary,2024-12-31 14:05
BGT04632,USR044,INC02201,3400000,2500000,1650000,7500000,5900000,freelance,2024-09-15 04:27
BGT08381,USR056,INC06559,3500000,2200000,1600000,7250000,5700000,salary,2023-04-02 22:03
BGT08267,USR036,INC05968,1950000,1300000,1000000,4250000,3250000,allowance,2024-05-12 23:33
BGT07809,USR075,INC08309,3650000,1800000,1300000,6750000,5450000,freelance,2023-10-01 06:48
BGT00284,USR039,INC08407,1100000,650000,450000,2200000,1750000,freelance,2023-08-09 23:06
BGT02290,USR073,INC02654,2300000,1550000,1300000,5100000,3850000,bonus,13/02/2024 04:08
BGT00810,USR030,INC08163,1450000,800000,450000,2700000,2250000,allowance,2023-01-16 04:55
BGT09308,USR068,INC08798,2050000rb,1300000rb,1250000,4600000,3350000,salary,2023-01-27 08:01
BGT02203,USR048,INC08685,3150000,1750000,1150000,6050000,4900000,salary,2024-10-18 01:48
BGT06346,USR019,INC02217,700000,400000rb,150000,1250000,1100000,allowance,2024-01-15 03:58
BGT00881,USR050,INC06246,4150000,2600000,1200000,7950000,6750000,salary,2023-03-15 17:06
BGT07030,USR046,INC04342,2250000,1600000,1050000,4900000,3850000,freelance,2023-04-11 22:28
BGT02396,USR029,INC05322,2100000,1300000,400000,3750000,3400000,freelance,2024-04-22 18:07
BGT00687,USR038,INC06708,800000,600000,300000,1700000,1400000,freelance,2023-12-11 18:08
BGT01714,USR007,INC02271,1150000,700000,550000,2400000,1850000,PART_TIME,2023-06-24 20:29
BGT07810,USR061,INC05202,3800000,2500000,1300000,7650000,6300000,business,2023-04-04 12:32
BGT05505,USR036,INC06110,2300000,1550000,850000,4700000,3850000,part_time,2023-06-25 17:03
BGT01937,USR006,INC09494,750000,400000,,1500000,1150000,part_time,2024-09-15 17:11
BGT01059,USR056,INC01489,2000000,1150000,950000,4050000,3150000,bonus,2024-01-15 11:33
BGT00536,USR075,INC04603,4150000,2200000,1500000,7850000,6350000,SALARY,08/06/2023 17:19
BGT05788,USR005,INC09023,750000,400000,350000,1500000,1150000,part_time,2024-03-10 22:59
BGT03797,USR017,INC09100,600000,400000,300000,1250000,1000000,scholarship,2024-12-22 06:05
BGT09932,USR074,INC06954,3450000,1750000,1300000,6500000,5200000,bonus,2023-08-09 08:26
BGT06873,USR059,INC00992,1750000,1150000,1050000,3950000,2900000,bonus,2024-03-04 11:27
BGT01705,USR001,INC00999,900000,500000,,,1400000,scholarship,2024-10-20 23:13
BGT03552,USR011,INC07710,,800000,400000,2650000,2250000,allowance,2023-01-25 15:28
BGT06465,USR026,INC07676,900000,600000,450000,1950000,1500000,allowance,2024-06-16 03:56
BGT09432,USR035,INC02861,1250000,600000,450000,2300000,1850000,freelance,2023-09-06 08:31
BGT05044,USR021,INC08952,1750000,1050000,550000,3350000,2800000,internship,2023-10-25 07:37
BGT04988,USR003,INC04197,800000,450000,350000,1550000,1250000,scholarship,2023-11-04 04:03
BGT07071,USR047,INC08162,1800000,1050000,1150000,4050000,2850000,bonus,2024-02-20 16:55
BGT00293,USR068,INC04618,2650000,1700000,1150000,5500000,4350000,freelance,2023-06-28 14:24
BGT03621,USR034,INC03968,1750000,1250000,700000,3700000,3000000,allowance,2023-07-26 04:59
BGT04214,USR061,INC08091,4850000,2600000,2100000,9550000,7450000,business,2024-08-21 21:52
BGT01778,USR002,INC03405,1100000,650000,400000,2200000,1750000,part_time,2024-04-12 00:40
BGT01932,USR057,INC04992,,1850000,1400000,5900000,4500000,bonus,15/01/2023 22:13
BGT04609,USR074,INC07449,3800000,2150000,1200000,7200000,5950000,salary,2024-12-08 22:13
BGT08933,USR058,INC02940,2000000,1300000,700000,4000000,3300000,bonus,2023-04-07 22:45
BGT00472,USR021,INC09740,1500000,1000000,800000,3300000,2500000,allowance,2024-05-30 04:43
BGT00865,USR059,INC08515,3450000,1900000,1000000,6400000,5350000,business,2023-11-13 23:18
BGT01556,USR065,INC07149,3950000,2300000,2300000,8550000,6250000,investment_return,2023-05-31 13:08
BGT07111,USR055,INC03214,3700000,2100000,1200000,7000000,5800000,business,2024-05-03 09:45
BGT06228,USR024,INC04867,1250000,750000,700000,2700000,2000000,freelance,2023-10-20 17:37
BGT09067,USR073,INC02943,4450000,2600000,1850000,8900000,7050000,freelance,2023-06-15 09:07
BGT05416,USR036,INC09485,1700000,1150000,650000,3550000,2850000,allowance,2023-12-31 05:10
