rule_id,active,priority,match_type,canonical_merchant,alias_keywords,negative_keywords,category_primary,category_detail,merchant_type,rule_strength,ambiguity_level,validator_action,min_model_confidence_accept,max_model_confidence_override,amount_min,amount_max,amount_action,payment_method_hint,payment_media_hint,source_hint,notes,version
GENERIC_GROCERIES_MINIMARKET_SUPERMARKET,True,99,contains,Minimarket / Supermarket,alfamart|indomaret|alfamidi|superindo|hypermart|ranch market|farmers market|lottemart|transmart|carrefour|supermarket|minimarket|grocery store|fresh market,,Needs,groceries,Grocery Retail,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Minimarket/supermarket kebutuhan harian.,v7_generic_transaction
GENERIC_HEALTH_APOTEK_OBAT,True,99,contains,Apotek / Obat,apotek|apotik|pharmacy|toko obat|obat|vitamin|suplemen obat|kimia farma|k24|apotek k24|guardian pharmacy,,Needs,health,Pharmacy,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,"Apotek, obat, dan vitamin.",v7_generic_transaction
GENERIC_HEALTH_KLINIK_RS_LAB,True,99,contains,Klinik / Rumah Sakit / Lab,klinik|rumah sakit|rs |rsud|puskesmas|medical center|lab klinik|laboratorium klinik|cek darah|cek kesehatan|medical check up|mcu|dokter umum|dokter spesialis|telemedisin|halodoc|alodokter,,Needs,health,Medical Service,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Layanan kesehatan.,v7_generic_transaction
GENERIC_HEALTH_TOKO_OBAT,True,99,contains,Toko Obat / Alkes,toko obat|toko alat kesehatan|alkes|medical supply|toko kesehatan,,Needs,health,Medical Retail Specific,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Mengalahkan rule toko generic.,v7_generic_transaction
HEALTH_TOKO_OBAT_APOTEK_GENERIC_ENHANCED,True,99,contains,Generic Apotek / Toko Obat,apotek|apotik|toko obat|pharmacy|farmasi|kimia farma|k24|k-24|guardian pharmacy,beauty|skincare|makeup|parfum,Needs,health,Pharmacy / Health Store,strong,low,override_if_model_low_confidence,0.70,0.90,0.0,1000000.0,warning,,,,Rule tambahan agar toko obat/apotek tidak masuk shopping.,v4-enhanced
GENERIC_INVESTMENT_KOPERASI_SIMPANAN,True,99,contains,Koperasi Simpanan,simpanan koperasi|koperasi simpanan|simpanan pokok|simpanan wajib|simpanan sukarela|setoran koperasi|shu koperasi|deposito koperasi|tabungan koperasi,,Investment,investment,Koperasi / Savings,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Konteks koperasi yang jelas terkait simpanan/investasi.,v7_generic_transaction
GENERIC_INVESTMENT_STOCK_MUTUAL_FUND,True,99,contains,Saham / Reksadana,saham|stockbit|ajaib|bibit|bareksa|ipotp|indopremier|mirrae asset|mandiri sekuritas|bni sekuritas|bca sekuritas|reksadana|reksa dana|mutual fund|nabungsaham|nabungsaham,,Investment,investment,Capital Market Investment,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Investasi saham dan reksadana.,v7_generic_transaction
GENERIC_TRANSPORT_PARKIR_TOL,True,99,contains,Parkir / Tol,parkir|parking|e toll|etoll|e-toll|gerbang tol|jalan tol|tarif tol|toll road|saldo tol|topup etoll|top up etoll,,Needs,transport,Parking / Toll,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Parkir dan tol.,v7_generic_transaction
GENERIC_TRANSPORT_SPBU_BBM,True,99,contains,SPBU / BBM,spbu|pertamina|shell|bp akr|vivo energy|pom bensin|bensin|solar|pertamax|pertalite|dexlite|bbm|isi bensin|isi bbm|fuel station,,Needs,transport,Fuel Station,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Bahan bakar kendaraan.,v7_generic_transaction
GENERIC_UTILITIES_KOS_KOST_SEWA,True,99,contains,Kos / Sewa Tempat Tinggal,sewa kos|sewa kost|bayar kos|bayar kost|kost bulanan|kos bulanan|iuran kos|iuran kost|kontrakan|sewa rumah|sewa kamar|uang kos|uang kost|kostan|kosan|kost putri|kost pria,,Needs,utilities,Housing / Rent,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Biaya tempat tinggal dimasukkan ke utilities karena kategori housing/rent belum tersedia.,v7_generic_transaction
GENERIC_UTILITIES_PDAM_AIR,True,99,contains,PDAM / Air,pdam|tagihan air|bayar air|air pam|air bersih|water bill,,Needs,utilities,Water Utility,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Tagihan air.,v7_generic_transaction
GENERIC_UTILITIES_PLN_LISTRIK,True,99,contains,PLN / Listrik,pln|token listrik|listrik prabayar|listrik postpaid|tagihan listrik|bayar listrik|isi ulang listrik|meteran listrik|electricity bill,,Needs,utilities,Electricity Utility,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Tagihan listrik dan token PLN.,v7_generic_transaction
GENERIC_EDUCATION_COURSE_BOOTCAMP,True,98,contains,Kursus / Training / Bootcamp,kursus|bimbel|les privat|kelas online|online course|training course|bootcamp|sertifikasi|certification exam|toefl|ielts|udemy|coursera|skill academy|ruangguru|zenius|pijar mahir,,Wants,education,Course / Training,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Pembelajaran nonformal dan sertifikasi.,v7_generic_transaction
GENERIC_ENTERTAINMENT_CINEMA_EVENT,True,98,contains,Bioskop / Event / Karaoke,bioskop|cinema|xxi|cgv|cinepolis|movie ticket|tiket konser|concert ticket|event ticket|loket|goers|tiket event|karaoke|timezone|game center,,Wants,entertainment,Offline Entertainment,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Hiburan offline.,v7_generic_transaction
GENERIC_ENTERTAINMENT_GAME_TOPUP,True,98,contains,Game / Topup Game,topup game|top up game|voucher game|steam|playstation|psn|xbox|nintendo|valorant|mobile legends|mlbb|free fire|garena|roblox|pubg mobile|genshin|codashop|unipin|google play game,,Wants,entertainment,Gaming,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Game dan topup game.,v7_generic_transaction
FOOD_CAFE_KOPI_GENERIC,True,98,contains,Generic Cafe/Kopi,cafe|café|kafe|coffee|coffe|cofee|coffee shop|kedai kopi|kopi|kopi susu|es kopi|kopitiam|roastery|espresso|latte|cappuccino|mocha|manual brew|boba|bubble tea|milk tea|thai tea|teh|es teh|jus|juice|smoothies,,Needs,food,Cafe / Coffee / Beverage,strong,low,override_if_model_low_confidence,0.75,0.85,5000.0,750000.0,warning,QRIS|Cash|Debit|E-Wallet,GoPay|OVO|DANA|ShopeePay|Cash,manual_input,Enhanced: generic cafe/kopi/minuman diarahkan ke food dengan priority tinggi agar tidak kalah oleh toko/groceries generic.,v3
FOOD_TOKO_ROTI_KUE_GENERIC_ENHANCED,True,98,contains,Generic Bakery / Toko Roti Kue,toko roti|toko kue|bakery|bakeshop|roti|bread|donut|donat|kue|cake|pastry|dessert|martabak|pancake|waffle,toko bahan kue|bahan kue|loyang|oven|mixer|alat baking,Needs,food,Bakery / Dessert,strong,low,override_if_model_low_confidence,0.70,0.90,0.0,1000000.0,warning,,,,"Rule tambahan agar toko roti/kue masuk food, bukan shopping/groceries.",v4-enhanced
FOOD_WARUNG_MAKAN_GENERIC,True,98,contains,Generic Warung Makan,warung makan|rumah makan|resto|restaurant|restoran|warteg|warung tegal|kedai makan|tempat makan|food court|angkringan|lesehan|kantin|depot makan|lapo|nasi padang|nasi goreng|nasi uduk|nasi kuning|ayam geprek|ayam bakar|ayam goreng|bakso|baso|mie ayam|mie goreng|sate|soto|pecel lele|bubur ayam|ketoprak|gado gado|siomay|batagor|seblak,,Needs,food,Restaurant / Warung Makan,strong,low,override_if_model_low_confidence,0.75,0.85,5000.0,1000000.0,warning,QRIS|Cash|Debit|E-Wallet,GoPay|OVO|DANA|ShopeePay|Cash,manual_input,"Enhanced: warung makan/restoran/menu umum harus food, bukan groceries.",v3
FOOD_WARUNG_MENU_GENERIC_ENHANCED,True,98,contains,Generic Warung / Menu Indonesia,warung makan|warung nasi|warteg|warung tegal|nasi goreng|nasi padang|nasi uduk|nasi kuning|ayam geprek|ayam goreng|ayam bakar|fried chicken|bakso|baso|mie ayam|mie goreng|sate|soto|pecel lele|bebek|bubur ayam|ketoprak|gado gado|siomay|batagor|seblak|lalapan,warung kelontong|warung sembako|toko kelontong|grosir|pasar|supermarket|minimarket,Needs,food,Warung / Indonesian Food,strong,low,override_if_model_low_confidence,0.70,0.90,0.0,1000000.0,warning,,,,Rule tambahan untuk merchant general warung/menu makanan Indonesia.,v4-enhanced
GENERIC_FOOD_BAKERY_ROTI,True,98,contains,Bakery / Toko Roti,bakery|toko roti|roti|breadtalk|holland bakery|breadlife|bread store|pastry|cake shop|toko kue,,Needs,food,Bakery,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Bakery/toko roti diarahkan ke food.,v7_generic_transaction
GENERIC_FOOD_ONLINE_DELIVERY,True,98,contains,Online Food Delivery,gofood|grabfood|shopeefood|food delivery|pesan makan|delivery makanan|delivery food,,Needs,food,Food Delivery,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Layanan pesan makanan.,v7_generic_transaction
GENERIC_GROCERIES_KOPERASI_KONSUMSI,True,98,contains,Koperasi Konsumsi,koperasi konsumsi|koperasi sembako|toko koperasi|minimarket koperasi|warung koperasi|koperasi karyawan mart|kopkar mart|koperasi pegawai mart|koperasi belanja,,Needs,groceries,Cooperative Store / Groceries,strong,medium,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Koperasi dengan konteks belanja kebutuhan harian.,v7_generic_transaction
GENERIC_GROCERIES_PASAR_SEMBAKO_EXPANDED,True,98,contains,Pasar / Sembako,pasar tradisional|pasar modern|toko sembako|warung sembako|sembako|beras|telur|minyak goreng|gula pasir|tepung|sayur|sayuran|buah|buah-buahan|daging|ayam potong|ikan segar|bumbu dapur|susu kotak|air mineral galon|galon aqua,,Needs,groceries,Groceries / Daily Supplies,strong,medium,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Belanja kebutuhan dapur dan rumah tangga.,v7_generic_transaction
GENERIC_GROCERIES_WARUNG_SEMBAKO,True,98,contains,Warung / Toko Sembako,warung sembako|warung sayur|warung kelontong|toko kelontong|toko beras|toko sayur|kedai sembako,,Needs,groceries,Small Grocery Store,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Warung/toko dengan konteks sembako diarahkan groceries.,v7_generic_transaction
GROCERIES_TOKO_SEMBAKO_KELONTONG_GENERIC_ENHANCED,True,98,contains,Generic Toko Sembako / Kelontong,toko sembako|warung sembako|agen sembako|grosir sembako|toko kelontong|warung kelontong|kelontong|sembako|pasar swalayan|minimarket|supermarket|swalayan|hypermarket|toserba|toko sayur|tukang sayur|buah segar|toko buah,warung makan|rumah makan|resto|restaurant|restoran|warteg|warung tegal|kedai makan|tempat makan|food court|kopi|coffee|cafe|café|kafe|kedai kopi|boba|bubble tea|milk tea|thai tea|es teh|roti|bakery|toko roti|toko kue|martabak|bakso|baso|mie ayam|mie goreng|sate|soto|nasi goreng|nasi padang|nasi uduk|ayam geprek|ayam goreng|ayam bakar|pecel lele|seblak|batagor|siomay|bubur ayam,Needs,groceries,Grocery / Household Store,strong,low,override_if_model_low_confidence,0.70,0.90,0.0,1000000.0,warning,,,,Rule tambahan untuk toko/warung kebutuhan harian yang spesifik groceries.,v4-enhanced
GENERIC_HEALTH_DENTAL_OPTIC,True,98,contains,Dental / Optic,dokter gigi|klinik gigi|dental clinic|orthodontist|behel|tambal gigi|cabut gigi|optik|optical|kacamata|lensa kontak|softlens,,Needs,health,Dental / Optical Health,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Gigi dan optik.,v7_generic_transaction
GENERIC_INVESTMENT_CRYPTO,True,98,contains,Crypto Investment,crypto|kripto|bitcoin|ethereum|usdt|binance|indodax|tokocrypto|pluang crypto|pintu crypto|rekeningku crypto|coinbase,,Investment,investment,Crypto Investment,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Investasi aset kripto.,v7_generic_transaction
GENERIC_INVESTMENT_GOLD_DEPOSIT,True,98,contains,Emas / Deposito / Obligasi,emas digital|tabungan emas|pegadaian emas|antam|logam mulia|gold saving|deposito|time deposit|obligasi|sbn|sukuk|ori|sr0|sbr,,Investment,investment,Savings / Fixed Income Investment,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,"Investasi emas, deposito, obligasi/SBN.",v7_generic_transaction
GENERIC_INVESTMENT_KOPERASI_SYARIAH_BMT,True,98,contains,BMT / Koperasi Syariah,bmt|baitul maal wat tamwil|koperasi syariah|bmt syariah|kspps|koperasi jasa keuangan syariah|kjks,,Investment,investment,Koperasi Syariah / Financing,strong,medium,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,"BMT/KSPPS cenderung transaksi finansial, namun tetap medium ambiguity.",v7_generic_transaction
GENERIC_SELFCARE_BARBER_SALON_SPA,True,98,contains,Salon / Barber / Spa,barber|barbershop|pangkas rambut|potong rambut|salon|hair studio|haircut|nail art|manicure|pedicure|spa|reflexology|pijat|massage|lulur,,Wants,self_care,Personal Care Service,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Perawatan diri.,v7_generic_transaction
GENERIC_SELFCARE_LAUNDRY,True,98,contains,Laundry / Dry Clean,laundry|laundromat|dry clean|dryclean|cuci kiloan|setrika kiloan|laundry kiloan|cuci sepatu|shoe cleaning,,Wants,self_care,Laundry Service,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Laundry dan cuci sepatu.,v7_generic_transaction
GENERIC_SHOPPING_FASHION,True,98,contains,Fashion / Apparel,toko baju|fashion store|clothing store|distro|boutique|butik|uniqlo|h&m|zara|matahari department store|sepatu|toko sepatu|sneakers|tas wanita|handbag|dompet|aksesoris fashion,,Wants,shopping,Fashion Retail,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Fashion dan apparel.,v7_generic_transaction
GENERIC_TRANSPORT_BENGKEL_SERVICE,True,98,contains,Bengkel / Service Kendaraan,bengkel|service motor|servis motor|service mobil|servis mobil|tambal ban|ganti oli|oli motor|oli mobil|sparepart motor|sparepart mobil|ban motor|ban mobil|cuci motor|cuci mobil|steam motor|car wash,,Needs,transport,Vehicle Maintenance,strong,medium,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Maintenance kendaraan.,v7_generic_transaction
GENERIC_TRANSPORT_OJOL_TAXI,True,98,contains,Ojol / Taxi,go ride|goride|go car|gocar|grab bike|grabbike|grab car|grabcar|maxim bike|maxim car|blue bird|bluebird|taxi|taksi|ojek online|ojol|ride hailing,gofood|grabfood|shopeefood,Needs,transport,Ride Hailing / Taxi,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Transport online; negative keywords mencegah konflik dengan food delivery.,v7_generic_transaction
GENERIC_TRANSPORT_PUBLIC_TRANSIT,True,98,contains,Transport Umum,krl|commuter line|mrt|lrt|transjakarta|tj card|jaklingko|busway|damri|angkot|bus kota|kereta lokal|kai commuter,,Needs,transport,Public Transit,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Transportasi umum.,v7_generic_transaction
GENERIC_TRAVEL_HOTEL_LODGING,True,98,contains,Hotel / Penginapan,hotel|penginapan|villa|airbnb|hostel|guest house|guesthouse|booking hotel|traveloka hotel|agoda|tiket hotel|resort|homestay|reddoorz|oyo|bobobox,,Wants,travel,Lodging,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Akomodasi perjalanan.,v7_generic_transaction
GENERIC_UTILITIES_INTERNET_WIFI,True,98,contains,Internet Rumah,wifi rumah|internet rumah|tagihan internet|indihome|first media|biznet|myrepublic|mnc play|oxygen internet|iconnet|xl home|home internet|broadband,,Needs,utilities,Home Internet Utility,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Internet rumah dan broadband.,v7_generic_transaction
GENERIC_UTILITIES_PULSA_DATA,True,98,contains,Pulsa / Paket Data,pulsa|paket data|kuota internet|topup pulsa|top up pulsa|isi pulsa|isi ulang pulsa|voucher data|telkomsel data|indosat data|xl data|axis data|tri data|by u|by.u,,Needs,utilities,Mobile Utility,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Pulsa dan paket data.,v7_generic_transaction
EDUCATION_TOKO_BUKU_GENERIC,True,97,contains,Generic Toko Buku,toko buku|buku|bookstore|gramedia|periplus|aksara,,Wants,education,Bookstore / Education,strong,low,override_if_model_low_confidence,0.75,0.85,10000.0,2000000.0,warning,QRIS|Cash|Debit|Transfer,,manual_input,"Toko buku diarahkan ke education, mengalahkan rule toko generic.",v3
FOOD_GENERIC_CAFE_861,True,97,contains,Generic Cafe,cafe|café|kafe|coffee shop|kedai kopi|kopitiam|roastery|espresso|latte,,Needs,food,Generic Food & Beverage,medium,medium,override_if_model_low_confidence,0.7,0.82,4250.0,179250.0,warning,,,,Enhanced duplicate-support rule: cafe/kopi/coffee mapped to food.,v3
FOOD_GENERIC_KOPI_864,True,97,contains,Generic Kopi,kopi|kopi susu|es kopi|coffee|coffe|cofee|kedai kopi|coffee shop|kopitiam|roastery,,Needs,food,Generic Food & Beverage,medium,medium,override_if_model_low_confidence,0.7,0.82,4250.0,179250.0,warning,,,,Enhanced duplicate-support rule: kopi/coffee mapped to food.,v3
FOOD_GENERIC_RUMAH_MAKAN_868,True,97,contains,Generic Rumah Makan,rumah makan|rm|restoran|restaurant|resto|warung makan|kedai makan|tempat makan|depot makan|food court|kantin|angkringan|lesehan,,Needs,food,Generic Food & Beverage,medium,high,review_if_conflict,0.7,0.82,4250.0,1000000.0,warning,,,,Enhanced: restaurant keywords mapped to food; short alias rm should be matched as token only in code.,v3
GENERIC_FOOD_CATERING,True,97,contains,Catering / Meal Plan,catering|katering|nasi box|meal prep|meal plan|rantangan|paket makan|tumpeng,,Needs,food,Catering,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Catering dan paket makan.,v7_generic_transaction
GENERIC_FOOD_SNACK_DESSERT_BEVERAGE,True,97,contains,Snack / Dessert / Beverage,jajanan|cemilan|snack|dessert|gelato|ice cream|es krim|boba|bubble tea|thai tea|minuman|juice|jus buah|roti bakar|donat|donut|croissant|cake|kue|pudding|puding|crepes,,Needs,food,Snack / Drink,strong,medium,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,"Snack, dessert, dan minuman.",v7_generic_transaction
GENERIC_SHOPPING_ELECTRONICS_GADGET,True,97,contains,Elektronik / Gadget,toko elektronik|electronic store|toko komputer|toko laptop|toko hp|handphone|smartphone|aksesoris hp|charger|powerbank|headset|earphone|keyboard|mouse komputer|service hp,,Wants,shopping,Electronics Retail,strong,medium,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Elektronik dan gadget.,v7_generic_transaction
GENERIC_SHOPPING_HOME_HARDWARE,True,97,contains,Home / Hardware / Furniture,toko bangunan|material bangunan|ace hardware|mr diy|perkakas|hardware store|furniture|furnitur|mebel|informa|ikea|dekorasi rumah|home decor|peralatan dapur,,Wants,shopping,Home Retail,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Perlengkapan rumah dan furniture.,v7_generic_transaction
SHOPPING_TOKO_NON_FOOD_GENERIC_ENHANCED,True,97,contains,Generic Specific Non-Food Retail Shop,toko elektronik|toko hp|toko handphone|toko komputer|toko laptop|toko gadget|toko baju|toko pakaian|toko sepatu|toko tas|toko jam|toko bangunan|toko material|toko furniture|toko mebel|toko olahraga|fashion store|electronic store|clothing store|shoe store,toko roti|toko kue|toko kopi|toko obat|toko buku|toko sembako|toko kelontong|warung makan|rumah makan,Wants,shopping,Specific Retail Store,strong,low,override_if_model_low_confidence,0.70,0.90,0.0,50000000.0,warning,,,,Rule tambahan: kata toko hanya dipakai jika jenis tokonya jelas non-food/non-grocery.,v4-enhanced
SHOPPING_TOKO_SPESIFIK_GENERIC,True,97,contains,Generic Specific Retail Shop,toko elektronik|toko baju|toko sepatu|toko bangunan|toko komputer|toko hp|toko furniture|toko mebel|fashion store|electronic store,,Wants,shopping,Specific Retail Store,strong,medium,override_if_model_low_confidence,0.75,0.85,20000.0,50000000.0,warning,QRIS|Debit|Credit Card|Transfer,,manual_input,Toko spesifik non-grocery diarahkan ke shopping.,v3
GENERIC_TRAVEL_FLIGHT_TRAIN_VACATION,True,97,contains,Tiket Perjalanan Jauh,tiket pesawat|flight ticket|airline ticket|garuda indonesia|citilink|lion air|batik air|airasia|super air jet|traveloka flight|tiket.com flight|airport train|railink,,Wants,travel,Travel Ticket,strong,medium,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Tiket perjalanan jarak jauh/liburan.,v7_generic_transaction
GENERIC_TRAVEL_TOURISM_ATTRACTION,True,97,contains,Wisata / Tour,tiket wisata|tempat wisata|tour package|paket tour|museum ticket|theme park|waterpark|dufan|taman safari|kebun binatang|zoo ticket|travel agent,,Wants,travel,Tourism / Attraction,strong,low,override_if_model_low_confidence,0.60,0.60,0,999999999,ignore,,,manual_input|bank_statement|ocr|api,Wisata dan tour.,v7_generic_transaction
